cnt,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
34,3,0,7,1,0,5,1,1,0.72,0.697,0.79,0
108,2,1,6,23,0,0,0,1,0.58,0.5455,0.64,0.194
15,3,1,9,4,0,6,0,1,0.56,0.5303,0.83,0.2836
272,2,1,6,15,0,2,1,2,0.58,0.5455,0.46,0.1343
44,3,1,7,5,0,4,1,1,0.62,0.5909,0.73,0.1045
102,1,0,3,16,0,2,1,1,0.34,0.3485,0.34,0.0896
135,4,0,10,23,0,6,0,1,0.48,0.4697,0.41,0.1642
24,3,0,8,5,0,3,1,2,0.76,0.697,0.55,0.0896
171,4,1,10,6,0,4,1,2,0.52,0.5,0.88,0.194
157,2,1,5,10,0,2,1,2,0.58,0.5455,0.68,0.4179
575,4,1,9,17,0,0,0,1,0.62,0.6212,0.35,0.2836
8,2,0,5,2,0,2,1,3,0.56,0.5303,0.88,0
163,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343
208,1,1,2,7,0,3,1,3,0.38,0.3939,0.62,0.0896
154,3,0,7,11,0,4,1,1,0.84,0.8182,0.56,0.2836
44,1,0,2,23,0,4,1,1,0.46,0.4545,0.67,0.2985
281,3,1,8,22,0,3,1,1,0.64,0.6061,0.73,0
265,2,1,4,9,0,3,1,3,0.48,0.4697,0.44,0.2985
460,2,1,5,15,1,1,0,1,0.82,0.7879,0.56,0.2985
142,1,0,12,14,0,4,1,2,0.3,0.3333,0.52,0
22,1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343
389,3,1,8,20,0,5,1,2,0.78,0.7576,0.66,0.2239
40,1,0,3,0,0,0,0,1,0.34,0.303,0.49,0.4179
108,4,1,12,0,0,6,0,1,0.26,0.303,0.81,0
367,3,1,9,15,0,5,1,2,0.72,0.6667,0.48,0.1343
4,1,0,3,1,0,5,1,2,0.18,0.1818,0.64,0.194
229,3,1,9,22,0,3,1,1,0.5,0.4848,0.63,0.0896
89,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239
530,4,1,9,7,0,1,1,1,0.46,0.4545,0.67,0.1343
401,2,0,5,12,0,0,0,2,0.72,0.6667,0.51,0.194
260,3,1,8,15,0,4,1,1,0.8,0.697,0.33,0.2537
5,3,0,8,4,0,2,1,1,0.64,0.6061,0.69,0.2985
374,3,1,6,19,0,6,0,1,0.84,0.7576,0.44,0.2537
127,3,1,9,22,0,0,0,1,0.56,0.5303,0.68,0.0896
8,2,1,6,4,0,6,0,1,0.62,0.6212,0.57,0
356,1,1,3,16,0,3,1,1,0.72,0.6364,0.25,0.194
205,4,0,9,9,0,1,1,2,0.64,0.5758,0.89,0.194
508,4,1,9,19,0,5,1,3,0.62,0.6212,0.5,0.2537
3,1,0,1,4,0,6,0,2,0.02,0.0152,0.48,0.2985
104,1,0,2,10,0,0,0,2,0.26,0.2576,0.41,0.194
187,2,1,6,10,0,1,1,1,0.64,0.6212,0.41,0.4627
93,2,0,6,1,0,0,0,1,0.64,0.5758,0.83,0.1045
152,3,1,7,23,0,3,1,2,0.7,0.6515,0.58,0.2537
230,3,1,9,8,0,6,0,1,0.7,0.6667,0.79,0.3284
160,3,0,9,22,0,3,1,2,0.66,0.6212,0.65,0.1343
5,4,1,9,3,0,1,1,1,0.46,0.4545,0.63,0.1642
214,1,0,3,8,0,2,1,1,0.2,0.1818,0.59,0.3881
194,3,0,8,17,0,0,0,3,0.74,0.7121,0.74,0.6418
134,2,0,3,15,0,2,1,1,0.5,0.4848,0.42,0.2239
366,2,0,5,12,1,1,0,1,0.86,0.803,0.47,0.1045
365,2,0,5,19,0,2,1,1,0.68,0.6364,0.57,0.3582
224,2,1,4,10,1,1,0,1,0.62,0.6061,0.69,0.2537
170,1,0,12,9,0,4,1,2,0.2,0.2121,0.64,0.1343
676,1,1,3,17,0,2,1,1,0.7,0.6364,0.37,0.1045
342,3,1,7,12,0,6,0,1,0.96,0.8636,0.31,0.3582
350,2,0,5,13,1,1,0,1,0.86,0.7879,0.44,0.0896
813,2,1,5,18,0,3,1,1,0.56,0.5303,0.73,0.2239
3,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284
288,1,0,12,18,0,4,1,2,0.44,0.4394,0.62,0.0896
299,3,1,8,19,0,1,1,2,0.62,0.5909,0.78,0.194
7,3,0,8,4,0,6,0,2,0.6,0.5455,0.88,0
82,1,0,2,14,0,3,1,1,0.46,0.4545,0.28,0.4179
251,2,1,5,21,0,6,0,2,0.72,0.6818,0.62,0.194
149,3,0,7,12,0,3,1,1,0.82,0.803,0.59,0
160,4,0,11,9,0,6,0,1,0.3,0.303,0.61,0.1642
16,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896
267,1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985
186,3,0,6,9,0,6,0,1,0.72,0.6515,0.45,0.2537
90,3,1,7,2,0,0,0,1,0.72,0.697,0.74,0.0896
7,1,0,3,5,0,5,1,2,0.16,0.1818,0.74,0.1343
18,2,1,4,5,0,0,0,2,0.34,0.3485,0.81,0.0896
19,2,0,3,1,0,2,1,1,0.42,0.4242,1,0.1343
208,3,1,8,21,0,0,0,1,0.72,0.697,0.79,0.1045
81,4,0,9,23,0,4,1,1,0.52,0.5,0.77,0.1045
440,2,1,4,16,0,5,1,1,0.52,0.5,0.29,0.2537
175,3,0,9,22,0,6,0,1,0.64,0.5909,0.78,0
252,3,1,9,11,0,1,1,2,0.62,0.6061,0.69,0.2239
278,3,1,8,21,0,1,1,1,0.72,0.697,0.74,0.194
3,2,1,5,3,0,4,1,1,0.46,0.4545,0.88,0.2239
385,2,1,6,20,0,5,1,1,0.68,0.6364,0.44,0.194
334,2,0,6,14,0,6,0,2,0.8,0.7273,0.46,0.2836
370,3,1,7,17,0,3,1,1,0.74,0.697,0.7,0.2537
25,2,0,4,5,0,5,1,1,0.46,0.4545,0.47,0.1343
382,4,1,11,15,1,1,0,1,0.56,0.5303,0.64,0.2537
625,4,0,10,17,0,2,1,1,0.6,0.6061,0.6,0.1343
77,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239
5,2,0,4,2,0,3,1,1,0.58,0.5455,0.88,0.2537
115,3,1,7,2,0,0,0,2,0.68,0.6364,0.89,0.1642
29,3,1,7,1,0,4,1,1,0.66,0.6212,0.65,0.2239
265,3,0,7,16,0,1,1,1,0.84,0.803,0.53,0.2836
281,3,0,9,16,0,3,1,2,0.66,0.6212,0.74,0.1045
628,3,1,7,16,0,0,0,1,0.74,0.697,0.66,0.1045
90,2,1,5,0,0,4,1,2,0.48,0.4697,0.82,0.2239
295,1,1,2,19,0,4,1,1,0.32,0.3333,0.33,0.1045
351,3,1,6,16,0,5,1,1,0.96,0.9091,0.36,0
7,4,1,12,3,0,3,1,1,0.48,0.4697,0.67,0.1343
662,4,1,12,8,0,2,1,1,0.38,0.3939,0.94,0
69,1,0,2,12,0,4,1,1,0.2,0.1818,0.4,0.3582
64,3,0,9,22,1,1,0,2,0.6,0.5455,0.88,0.5821
372,3,0,7,16,0,0,0,1,0.84,0.7576,0.41,0.2836
332,4,1,11,19,0,5,1,1,0.36,0.3485,0.46,0.2239
5,4,0,11,2,0,4,1,2,0.42,0.4242,0.82,0.2239
319,4,1,10,15,0,3,1,1,0.6,0.6212,0.4,0.1642
2,4,1,12,3,0,4,1,1,0.22,0.2273,0.55,0.194
249,3,0,8,15,0,5,1,2,0.8,0.7727,0.59,0.194
117,4,0,11,11,0,2,1,1,0.46,0.4545,0.63,0.1045
372,2,1,5,18,0,3,1,3,0.52,0.5,0.77,0.5821
2,1,0,2,2,0,4,1,1,0.18,0.1667,0.43,0.2537
382,2,0,5,12,0,0,0,1,0.6,0.6212,0.46,0.0896
55,4,0,12,12,0,2,1,3,0.46,0.4545,1,0.2239
1,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343
203,4,1,11,14,0,2,1,1,0.38,0.3939,0.46,0.3881
123,4,0,10,11,0,2,1,2,0.6,0.5909,0.73,0.1642
842,3,1,9,17,0,1,1,2,0.64,0.6061,0.65,0.2239
208,1,1,1,10,0,0,0,1,0.34,0.3333,0.49,0.1642
251,4,1,10,11,0,4,1,1,0.46,0.4545,0.36,0
351,4,0,11,15,0,0,0,2,0.52,0.5,0.68,0.194
113,2,0,6,6,0,4,1,1,0.66,0.6212,0.39,0.1343
310,2,1,6,12,0,5,1,2,0.7,0.6667,0.74,0.3582
20,1,1,1,3,0,6,0,1,0.14,0.1667,0.54,0.1045
133,4,0,10,14,0,4,1,1,0.66,0.6061,0.78,0.194
465,3,1,8,16,0,4,1,1,0.76,0.6818,0.48,0.1642
1,1,0,3,4,0,3,1,1,0.2,0.2121,0.75,0.1343
57,4,1,9,7,0,0,0,1,0.46,0.4545,0.59,0.2239
25,3,1,6,6,0,0,0,1,0.64,0.6061,0.65,0.1642
8,1,0,2,7,0,0,0,1,0.24,0.2424,0.65,0.1642
129,2,1,5,22,0,1,1,2,0.58,0.5455,0.78,0.0896
5,3,0,8,4,0,5,1,1,0.62,0.6212,0.53,0.1343
122,4,1,11,22,0,2,1,1,0.36,0.3788,0.71,0
9,1,1,12,3,0,0,0,1,0.2,0.2121,0.51,0.1343
215,1,1,3,12,0,3,1,1,0.44,0.4394,0.38,0.3881
8,4,0,11,1,0,3,1,2,0.48,0.4697,0.94,0.2985
58,2,0,5,1,0,6,0,1,0.42,0.4242,0.82,0.1045
60,2,1,6,14,0,2,1,3,0.64,0.5758,0.89,0.2537
89,3,0,9,15,0,2,1,3,0.54,0.5152,0.94,0.3881
407,2,1,4,15,0,5,1,1,0.64,0.6212,0.47,0.194
4,2,1,4,4,0,0,0,2,0.36,0.3485,0.87,0.1343
327,4,1,11,17,0,0,0,1,0.36,0.3485,0.43,0.194
953,4,1,9,17,0,3,1,1,0.74,0.6667,0.48,0.2985
31,1,1,1,0,0,3,1,1,0.26,0.303,0.93,0
17,2,0,5,1,0,2,1,1,0.68,0.6364,0.89,0.0896
247,3,1,8,14,0,4,1,1,0.88,0.7727,0.32,0.2239
4,3,1,7,4,0,3,1,1,0.64,0.6061,0.65,0.2239
226,2,0,5,16,0,1,1,3,0.6,0.5758,0.78,0.2537
133,3,1,8,8,0,0,0,1,0.68,0.6364,0.79,0.2836
5,3,0,9,4,0,6,0,1,0.46,0.4545,0.72,0.1343
687,4,1,10,18,0,2,1,3,0.62,0.5455,0.94,0.0896
120,1,1,3,13,0,1,1,2,0.26,0.2576,0.55,0.2985
7,3,1,8,4,0,5,1,1,0.64,0.5758,0.89,0.1343
199,4,0,12,7,0,5,1,1,0.22,0.2576,0.75,0.0896
149,4,1,11,8,0,0,0,1,0.3,0.303,0.56,0.1343
144,2,1,6,6,0,1,1,1,0.62,0.5758,0.83,0.1045
76,1,0,3,0,0,6,0,2,0.6,0.6212,0.53,0.2537
833,3,1,6,17,0,1,1,1,0.8,0.6818,0.24,0.4627
295,4,0,12,18,0,5,1,2,0.32,0.303,0.45,0.2537
819,2,1,4,17,0,5,1,1,0.64,0.6212,0.47,0.2836
33,2,1,3,1,0,4,1,1,0.56,0.5303,0.6,0.1343
279,3,1,7,17,0,6,0,1,0.96,0.8485,0.26,0.1343
362,3,0,9,7,0,2,1,1,0.58,0.5455,0.83,0.0896
110,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0
596,2,1,6,19,0,1,1,2,0.76,0.6818,0.48,0.3284
293,4,1,10,16,0,0,0,3,0.48,0.4697,0.67,0.4627
12,2,0,5,4,0,0,0,1,0.5,0.4848,1,0
232,4,1,10,22,0,4,1,1,0.64,0.6212,0.47,0.1343
538,3,1,8,14,0,6,0,1,0.8,0.7424,0.49,0.2985
91,1,1,3,6,0,1,1,1,0.18,0.197,0.59,0.1343
116,3,1,6,0,0,6,0,1,0.64,0.5758,0.83,0
108,1,0,3,16,0,2,1,1,0.38,0.3939,0.27,0.1642
116,4,1,10,13,0,2,1,3,0.3,0.2727,0.81,0.3582
103,2,0,5,0,1,1,0,1,0.64,0.5606,0.94,0.194
395,3,1,7,20,0,1,1,1,0.78,0.697,0.43,0.1343
395,2,1,5,19,1,1,0,1,0.8,0.7576,0.55,0.2985
2,4,1,11,3,0,2,1,2,0.34,0.3485,0.71,0.1045
222,1,0,2,17,0,3,1,1,0.34,0.3485,0.25,0.0896
212,4,1,12,12,0,4,1,2,0.36,0.3485,0.53,0.1642
425,4,1,9,20,0,2,1,1,0.6,0.6212,0.56,0.2985
366,4,1,10,9,0,3,1,1,0.54,0.5152,0.6,0.2836
12,2,1,6,5,0,0,0,1,0.5,0.4848,0.68,0
414,3,0,7,16,0,0,0,1,0.84,0.803,0.53,0.2985
62,2,0,4,23,0,3,1,1,0.4,0.4091,0.71,0.1343
202,4,0,10,20,0,6,0,1,0.52,0.5,0.77,0.1045
54,4,0,11,1,0,6,0,1,0.24,0.2424,0.6,0.1343
779,4,1,10,8,0,4,1,2,0.52,0.5,0.83,0.1642
175,2,0,4,15,0,1,1,1,0.74,0.6667,0.51,0.2239
92,2,1,5,7,0,2,1,3,0.56,0.5303,0.94,0.1343
315,2,1,5,9,0,3,1,2,0.56,0.5303,0.88,0
590,2,1,5,19,0,3,1,1,0.7,0.6515,0.54,0.2836
459,4,0,10,17,1,1,0,2,0.66,0.6212,0.54,0.1045
239,3,1,9,22,0,6,0,1,0.62,0.6212,0.57,0.194
233,3,0,6,12,0,4,1,1,0.76,0.6667,0.35,0.1642
17,3,0,8,5,0,1,1,2,0.6,0.5455,0.88,0.194
103,1,1,1,13,0,2,1,2,0.38,0.3939,0.76,0.3284
100,3,0,6,6,0,4,1,1,0.72,0.697,0.74,0.1642
196,1,0,2,14,0,6,0,1,0.46,0.4545,0.15,0.6567
588,3,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985
305,3,0,7,7,0,4,1,1,0.72,0.6818,0.7,0.1642
123,3,0,7,23,0,4,1,1,0.76,0.7424,0.75,0.194
133,3,1,7,6,0,4,1,1,0.72,0.6667,0.58,0
22,2,1,6,1,0,4,1,1,0.52,0.5,0.77,0.1642
11,3,0,9,6,1,1,0,2,0.66,0.6212,0.74,0.1343
154,3,0,7,21,0,6,0,1,0.82,0.803,0.59,0.2239
289,4,0,10,10,0,0,0,1,0.42,0.4242,0.71,0.0896
33,1,0,1,20,1,1,0,3,0.16,0.1515,0.8,0.194
743,4,1,12,17,0,2,1,1,0.52,0.5,0.59,0.2239
54,3,1,8,1,0,5,1,1,0.66,0.2424,0.65,0.1045
3,1,1,2,3,0,3,1,1,0.28,0.3182,0.75,0
40,3,0,7,0,0,3,1,1,0.7,0.6667,0.84,0.1045
27,3,0,8,5,0,3,1,1,0.54,0.5152,0.83,0.0896
149,4,0,10,10,0,2,1,2,0.6,0.5909,0.69,0.1343
181,4,0,12,13,0,2,1,2,0.44,0.4394,0.54,0.1343
102,1,1,2,8,0,6,0,1,0.22,0.2727,0.87,0
19,2,0,5,3,0,6,0,1,0.48,0.4697,0.82,0.1045
106,1,1,3,22,0,2,1,1,0.28,0.2727,0.56,0.1642
125,3,0,7,22,0,1,1,1,0.7,0.6667,0.84,0
295,3,0,9,19,0,6,0,1,0.7,0.6667,0.74,0.1343
52,1,0,2,13,0,2,1,2,0.2,0.2576,0.86,0
161,3,1,8,22,0,1,1,2,0.6,0.5606,0.83,0
53,3,1,7,0,0,2,1,1,0.72,0.6667,0.54,0
436,3,0,9,19,0,1,1,1,0.68,0.6364,0.57,0.1343
20,4,1,11,2,0,4,1,1,0.32,0.3333,0.66,0.1343
281,3,1,9,18,0,2,1,2,0.6,0.5455,0.88,0.1642
124,4,0,12,20,0,0,0,1,0.36,0.3485,0.76,0.1343
679,1,1,3,15,0,6,0,1,0.64,0.6212,0.53,0.1343
18,2,0,5,3,1,1,0,1,0.64,0.5606,0.94,0.194
179,2,0,6,13,0,1,1,1,0.64,0.6061,0.65,0.1045
102,1,0,3,12,0,2,1,2,0.36,0.3485,0.5,0.2239
94,2,1,3,23,0,4,1,1,0.42,0.4242,0.47,0.2985
136,2,0,6,13,0,4,1,1,0.9,0.8182,0.37,0.0896
96,2,0,4,10,0,1,1,2,0.56,0.5303,0.83,0.2985
140,1,0,3,9,0,1,1,1,0.32,0.303,0.53,0.3284
392,2,1,6,16,0,3,1,1,0.72,0.6515,0.3,0.4925
442,3,1,8,10,0,6,0,2,0.7,0.6515,0.65,0.2985
368,1,1,3,11,0,0,0,2,0.44,0.4394,0.82,0.1642
82,1,0,3,12,0,3,1,1,0.4,0.4091,0.43,0.194
116,1,0,2,9,0,2,1,2,0.16,0.2273,0.93,0
30,1,1,12,23,1,2,0,2,0.28,0.2727,0.65,0.2537
376,3,1,7,20,0,2,1,3,0.76,0.697,0.55,0.4925
78,1,0,3,11,0,2,1,2,0.34,0.3182,0.57,0.2239
71,1,0,2,20,0,5,1,2,0.24,0.2424,0.65,0.1642
286,2,1,6,11,0,5,1,1,0.66,0.6212,0.5,0.194
210,1,0,12,8,0,4,1,2,0.2,0.2576,0.64,0
1,1,0,2,4,0,3,1,3,0.22,0.2121,0.93,0.2836
157,3,0,6,10,0,2,1,1,0.8,0.7424,0.49,0.1642
245,4,0,12,17,0,0,0,1,0.38,0.3939,0.76,0.1343
86,1,1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896
36,2,0,4,22,0,0,0,1,0.4,0.4091,0.43,0.1045
73,1,0,2,22,0,3,1,1,0.34,0.3333,0.53,0.194
35,3,1,7,3,0,0,0,1,0.8,0.7727,0.59,0.1045
237,2,0,3,8,0,5,1,1,0.22,0.2121,0.51,0.2836
156,4,1,11,21,0,5,1,2,0.36,0.3333,0.46,0.3582
160,3,0,6,14,0,2,1,1,0.86,0.7879,0.44,0.2239
613,4,1,10,18,0,1,1,3,0.56,0.5303,0.64,0.1045
4,2,0,6,3,0,4,1,1,0.66,0.6212,0.44,0.1045
504,3,1,7,12,0,0,0,2,0.7,0.6515,0.7,0.1045
47,1,0,2,14,0,4,1,1,0.22,0.197,0.37,0.3881
410,1,1,2,18,0,4,1,1,0.4,0.4091,0.43,0.4627
9,4,1,11,4,0,2,1,2,0.36,0.3333,0.81,0.3881
148,3,0,9,23,0,5,1,1,0.62,0.5455,0.94,0.0896
180,2,1,4,11,0,3,1,2,0.38,0.3939,0.43,0.3284
132,3,0,7,8,0,6,0,1,0.68,0.6364,0.57,0
402,2,1,5,19,0,0,0,1,0.66,0.6212,0.61,0.4179
296,3,1,7,21,0,1,1,1,0.76,0.7121,0.62,0.194
693,2,1,5,8,0,4,1,1,0.62,0.6212,0.57,0.2537
14,2,0,4,3,0,6,0,2,0.36,0.3485,0.87,0.1642
3,1,0,1,4,1,1,0,2,0.18,0.197,0.43,0.1343
119,3,1,8,8,0,0,0,1,0.66,0.6212,0.54,0.2239
435,3,1,8,20,0,2,1,1,0.72,0.6667,0.48,0.1045
6,3,0,7,4,0,0,0,1,0.78,0.7576,0.66,0.1045
31,3,0,9,5,0,3,1,1,0.58,0.5455,0.88,0.1045
491,3,0,8,16,0,0,0,1,0.8,0.7121,0.36,0.3881
267,2,0,6,7,0,5,1,1,0.72,0.6818,0.66,0.1045
305,3,1,8,12,0,2,1,1,0.72,0.6515,0.45,0
136,3,0,7,11,0,3,1,1,0.8,0.697,0.31,0
63,1,0,1,11,0,6,0,2,0.06,0.0758,0.38,0.1343
118,3,0,8,15,0,3,1,2,0.7,0.6667,0.79,0.1343
7,3,0,8,4,0,5,1,1,0.64,0.5909,0.78,0.1343
79,4,1,11,22,0,5,1,1,0.44,0.4394,0.33,0.5224
638,2,1,4,8,0,4,1,1,0.36,0.3485,0.46,0.2239
1,1,0,2,4,0,4,1,2,0.14,0.1364,0.59,0.2239
75,2,0,3,10,0,3,1,2,0.34,0.3182,0.81,0.2836
145,1,0,2,16,0,6,0,1,0.34,0.303,0.29,0.4179
252,2,1,4,20,0,5,1,1,0.46,0.4545,0.24,0.2836
274,3,1,8,20,0,0,0,2,0.64,0.6061,0.73,0.194
6,1,1,1,2,0,3,1,1,0.28,0.2727,0.7,0.194
49,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896
159,3,1,7,10,0,2,1,2,0.84,0.7879,0.49,0.194
540,3,0,9,18,0,1,1,2,0.56,0.5303,0.68,0.1343
291,2,1,4,13,0,4,1,1,0.46,0.4545,0.31,0
26,1,0,2,6,0,1,1,1,0.34,0.303,0.46,0.2985
6,1,0,12,1,0,2,1,1,0.26,0.2727,0.7,0.1343
672,2,1,6,18,0,3,1,1,0.9,0.8182,0.37,0
33,3,1,9,6,0,6,0,1,0.54,0.5152,0.49,0.4179
122,3,1,7,22,0,0,0,3,0.74,0.697,0.7,0.0896
29,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045
245,3,0,8,14,0,5,1,2,0.78,0.7121,0.52,0.2537
137,1,1,2,13,0,4,1,2,0.42,0.4242,0.77,0
56,1,0,2,21,0,6,0,1,0.26,0.2576,1,0.194
514,4,1,10,19,0,2,1,2,0.5,0.4848,0.72,0.1642
7,3,0,7,3,0,1,1,1,0.66,0.6061,0.78,0.194
5,2,0,3,3,0,2,1,1,0.44,0.4394,0.82,0.2239
309,4,0,10,7,0,1,1,2,0.5,0.4848,0.55,0.1642
24,3,0,9,14,0,2,1,3,0.54,0.5152,0.88,0.2836
161,1,1,1,12,0,3,1,1,0.3,0.2576,0.39,0.4925
480,4,0,11,17,0,5,1,1,0.42,0.4242,0.38,0.3582
900,3,1,6,17,0,2,1,1,0.72,0.6515,0.28,0.4179
98,2,1,4,15,0,3,1,3,0.42,0.4242,0.77,0.194
183,2,1,3,12,0,6,0,3,0.52,0.5,0.94,0.2239
407,1,1,1,16,0,6,0,1,0.42,0.4242,0.44,0.3582
4,4,0,10,2,0,5,1,1,0.32,0.303,0.66,0.2836
43,3,1,9,7,1,1,0,1,0.68,0.6364,0.85,0
290,4,0,11,16,0,5,1,1,0.46,0.4545,0.36,0.3881
394,3,0,8,18,0,6,0,1,0.76,0.7121,0.58,0.2537
35,3,1,7,5,0,2,1,1,0.7,0.6515,0.61,0
224,2,1,5,11,0,2,1,1,0.64,0.5909,0.78,0.194
105,1,0,2,7,0,2,1,1,0.2,0.1818,0.32,0.3582
146,2,0,4,14,0,1,1,1,0.72,0.6667,0.54,0.2239
82,4,0,11,22,0,6,0,1,0.3,0.3333,0.65,0
18,1,0,3,23,0,2,1,2,0.32,0.3182,0.87,0.1642
229,2,1,5,11,0,2,1,2,0.66,0.6212,0.65,0.2836
527,4,1,11,17,0,2,1,2,0.3,0.2727,0.75,0.3881
99,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537
254,3,1,7,14,0,1,1,1,0.8,0.7424,0.49,0.2239
259,2,1,6,15,0,1,1,1,0.8,0.7121,0.41,0.3582
182,2,1,5,6,0,5,1,1,0.44,0.4394,0.77,0.1343
138,1,1,2,13,0,0,0,1,0.16,0.1212,0.4,0.4478
53,2,0,4,20,0,6,0,3,0.44,0.4394,0.94,0.2239
178,2,1,3,11,0,1,1,1,0.48,0.4697,0.31,0.5821
36,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045
3,1,0,3,1,0,3,1,3,0.3,0.2727,1,0.2985
236,3,0,7,14,0,6,0,1,0.92,0.8939,0.42,0
168,4,1,10,10,0,1,1,2,0.6,0.5909,0.73,0.3881
13,4,1,10,5,0,6,0,1,0.4,0.4091,0.82,0
332,3,1,6,20,0,0,0,1,0.78,0.697,0.46,0.2537
113,2,1,4,23,0,5,1,1,0.42,0.4242,0.3,0.2836
4,2,0,6,4,0,5,1,1,0.66,0.6061,0.78,0.1642
55,2,0,5,1,0,6,0,1,0.58,0.5455,0.88,0.194
159,3,1,9,22,0,1,1,1,0.54,0.5152,0.52,0.1343
29,4,1,9,1,0,3,1,1,0.58,0.5455,0.64,0.3284
10,1,1,1,0,0,1,1,2,0.32,0.2879,0.26,0.4179
70,2,0,3,22,0,2,1,2,0.4,0.4091,0.58,0.2537
389,2,1,4,13,0,6,0,2,0.4,0.4091,0.37,0
156,2,0,4,10,0,5,1,1,0.56,0.5303,0.4,0.2836
526,3,1,8,14,0,0,0,1,0.9,0.8485,0.42,0.4627
58,1,1,2,23,0,3,1,1,0.34,0.3485,0.53,0.0896
137,4,0,12,14,0,4,1,1,0.32,0.303,0.45,0.2537
455,3,0,6,16,0,0,0,1,0.74,0.6667,0.42,0.194
365,3,0,7,19,0,4,1,1,0.82,0.7727,0.52,0.2836
481,2,1,4,18,0,6,0,2,0.62,0.6212,0.35,0.2239
26,1,0,12,2,0,6,0,2,0.32,0.3333,0.66,0.0896
245,4,0,10,17,0,0,0,1,0.4,0.4091,0.35,0.1045
373,2,1,6,14,0,5,1,1,0.76,0.6667,0.31,0.3881
222,4,0,9,21,0,6,0,1,0.62,0.5758,0.83,0.0896
462,4,1,10,11,0,0,0,2,0.5,0.4848,0.51,0.3881
120,1,1,1,12,0,4,1,1,0.3,0.2879,0.49,0.2537
1,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194
118,1,1,2,16,0,4,1,3,0.34,0.3636,0.81,0
444,3,1,7,14,0,0,0,1,0.92,0.8333,0.33,0.2537
9,2,1,5,1,0,2,1,2,0.52,0.5,0.59,0.2239
27,4,0,10,11,0,6,0,3,0.26,0.2273,0.93,0.3881
547,3,1,8,12,0,6,0,1,0.86,0.7879,0.4,0.3582
86,1,1,2,0,0,6,0,1,0.26,0.2727,0.7,0.1045
26,4,0,10,1,0,5,1,1,0.4,0.4091,0.62,0.2239
86,1,1,2,11,0,2,1,2,0.26,0.2424,0.7,0.2836
10,3,1,6,4,0,5,1,2,0.76,0.7273,0.66,0
523,3,1,7,20,0,2,1,1,0.74,0.697,0.66,0.1642
113,2,0,6,6,0,2,1,1,0.54,0.5152,0.56,0.2985
154,4,1,12,20,0,0,0,2,0.42,0.4242,0.82,0.194
293,4,1,11,7,0,2,1,3,0.3,0.303,0.81,0.1343
26,3,0,9,1,0,5,1,1,0.42,0.4242,0.67,0.194
157,4,0,10,21,0,3,1,2,0.52,0.5,0.77,0
75,2,1,5,7,0,1,1,3,0.52,0.5,0.94,0.194
30,2,1,5,1,0,4,1,1,0.6,0.5455,0.88,0.0896
96,2,0,5,8,0,0,0,2,0.62,0.5606,0.88,0.2239
139,2,1,6,6,0,1,1,1,0.52,0.5,0.68,0
10,3,0,7,1,0,1,1,1,0.7,0.6515,0.61,0.2836
61,3,0,7,2,0,6,0,1,0.82,0.7727,0.52,0
170,4,0,12,14,0,5,1,1,0.42,0.4242,0.44,0.1045
228,4,0,12,13,0,0,0,1,0.3,0.2727,0.49,0.2985
77,3,0,8,22,0,3,1,3,0.68,0.6364,0.89,0.1045
139,2,1,5,6,0,4,1,1,0.44,0.4394,0.72,0.2239
504,3,1,9,13,0,6,0,2,0.82,0.7727,0.52,0.0896
281,1,1,3,9,0,1,1,1,0.38,0.3939,0.54,0.1642
44,1,1,2,7,1,1,0,2,0.22,0.197,0.55,0.3284
56,1,0,12,11,0,3,1,2,0.48,0.4697,0.82,0.4179
483,3,1,7,7,0,1,1,1,0.72,0.6818,0.7,0.0896
336,2,1,5,20,0,1,1,1,0.64,0.6061,0.69,0.1343
47,1,0,2,20,0,6,0,1,0.32,0.2879,0.28,0.5224
4,1,1,2,2,0,3,1,1,0.3,0.3333,0.61,0
6,1,1,3,5,0,0,0,2,0.4,0.4091,0.94,0.1045
304,4,0,11,19,0,3,1,1,0.44,0.4394,0.72,0.1045
19,3,0,8,2,0,5,1,1,0.66,0.6212,0.69,0
214,2,0,5,13,0,1,1,1,0.68,0.6364,0.51,0
306,3,0,7,19,0,6,0,1,0.76,0.697,0.55,0.1642
102,1,1,1,19,0,6,0,1,0.2,0.197,0.47,0.2239
